,country,year,passenger_cars_per_1000,passengers_transported,gdp_per_capita,population,total_road_spending,total_inland_transport_investment
133,Finland,2016,604,82114.0,111.0,5487308,1722000000.0,1717000000.0
134,Finland,2017,617,85703.0,111.0,5503297,1783500000.0,1760200000.0
135,Finland,2018,629,87502.0,111.0,5513130,2069000000.0,2025100000.0
136,Finland,2019,642,92801.0,109.0,5517919,2016000000.0,1987600000.0
137,Finland,2020,652,59550.0,114.0,5525292,2118000000.0,2131000000.0
139,France,2012,542,1150297.0,108.0,65276983,16024701531.0,21401415531.0
140,France,2013,546,1164822.0,110.0,65600350,15770158552.0,23455086552.0
141,France,2014,551,1157679.0,108.0,66165980,13567203024.0,19909054024.0
142,France,2015,558,1204201.0,107.0,66458153,12609456322.0,18751564322.0
143,France,2016,564,1234996.0,106.0,66638391,11646850000.0,18022900000.0
144,France,2017,569,1277193.0,104.0,66809816,11449230000.0,18449830000.0
145,France,2018,569,1246608.0,104.0,67026224,12001280000.0,19758540000.0
146,France,2019,571,1265330.0,106.0,67290471,12160010000.0,21310278945.0
147,France,2020,569,723852.0,104.0,67485531,11283877000.0,20198744119.0
149,Croatia,2012,339,27576.0,61.0,4275984,665177562.4,543788972.7
150,Croatia,2013,341,24216.0,61.0,4262140,633196991.7,609051326.0
151,Croatia,2014,349,21889.0,60.0,4246809,536897807.4,410237602.5
152,Croatia,2015,358,21649.0,61.0,4225316,483451536.6,298397688.5
153,Croatia,2016,374,20709.0,62.0,4190669,431747295.8,241688234.1
154,Croatia,2017,389,19803.0,64.0,4154213,368951288.8,259096511.4
155,Croatia,2018,409,20244.0,65.0,4105493,478828810.6,385139051.8
156,Croatia,2019,425,19827.0,67.0,4076246,611603893.1,483001267.2
157,Croatia,2020,433,13100.0,65.0,4058165,680781067.6,568157699.2
159,Hungary,2012,301,147688.0,67.0,9931925,448448487.9,625080791.7
160,Hungary,2013,308,148379.0,68.0,9908798,770759693.5,1023894325.0
161,Hungary,2014,315,146010.0,69.0,9877365,1511207888.0,1865089420.0
169,Ireland,2012,426,36918.0,133.0,4589287,1025000000.0,950607366.9
170,Ireland,2013,427,37130.0,133.0,4609779,722000000.0,659741389.7
171,Ireland,2014,431,38517.0,138.0,4637852,723000000.0,2198069268.0
172,Ireland,2015,436,39660.0,181.0,4677627,694000000.0,675845200.9
173,Ireland,2016,439,42820.0,177.0,4726286,705000000.0,656831490.4
174,Ireland,2017,444,45505.0,183.0,4784383,628000000.0,615810087.4
175,Ireland,2018,445,47960.0,190.0,4830392,781000000.0,736610566.9
176,Ireland,2019,454,50060.0,189.0,4904240,912000000.0,908888995.6
184,Italy,2012,621,854836.0,103.0,59394207,10303000000.0,7397000000.0
185,Italy,2013,608,854756.0,101.0,59685227,11975000000.0,7080000000.0
186,Italy,2014,610,864123.0,98.0,60782668,13424000000.0,8960000000.0
187,Italy,2015,616,872623.0,97.0,60795612,14217000000.0,8521000000.0
188,Italy,2016,625,869199.0,99.0,60665551,12201000000.0,8065000000.0
189,Italy,2017,637,864570.0,98.0,60589445,12212000000.0,6944000000.0
190,Italy,2018,652,882243.0,97.0,60483973,13907000000.0,9656000000.0
191,Italy,2019,663,898472.0,97.0,59816673,11123000000.0,8635000000.0
204,Lithuania,2012,590,4251.0,71.0,3003641,366000000.0,383000000.0
205,Lithuania,2013,615,4346.0,74.0,2971905,380000000.0,393000000.0
206,Lithuania,2014,413,4126.0,76.0,2943472,367000000.0,491000000.0
207,Lithuania,2015,431,3790.0,75.0,2921262,417000000.0,439000000.0
208,Lithuania,2016,456,3916.0,76.0,2888558,509000000.0,427000000.0
209,Lithuania,2017,483,4176.0,79.0,2847904,496000000.0,394000000.0
210,Lithuania,2018,512,4665.0,81.0,2808901,469000000.0,390000000.0
211,Lithuania,2019,536,4991.0,84.0,2794184,499000000.0,438000000.0
212,Lithuania,2020,560,3238.0,88.0,2794090,606000000.0,647000000.0
214,Luxembourg,2012,663,19691.0,277.0,524853,247099715.7,339053602.0
215,Luxembourg,2013,661,20549.0,279.0,537039,255826636.8,365302978.6
216,Luxembourg,2014,662,21503.0,283.0,549680,248928478.9,405568336.8
217,Luxembourg,2015,661,22496.0,282.0,562958,260959409.2,503958075.5
218,Luxembourg,2016,662,22459.0,278.0,576249,259166727.5,530843188.4
219,Luxembourg,2017,670,22930.0,269.0,590667,279572334.0,515576687.0
220,Luxembourg,2018,676,23331.0,260.0,602005,255534486.9,452642209.5
221,Luxembourg,2019,681,25016.0,251.0,613894,299787400.1,495576259.7
222,Luxembourg,2020,682,14527.0,261.0,626108,285314795.7,512077311.7
224,Latvia,2012,305,19707.0,61.0,2044813,310000000.0,292000000.0
225,Latvia,2013,317,19730.0,63.0,2023825,332000000.0,276000000.0
226,Latvia,2014,331,19190.0,64.0,2001468,342000000.0,324000000.0
227,Latvia,2015,345,17065.0,65.0,1986096,376000000.0,412000000.0
228,Latvia,2016,341,17228.0,66.0,1968957,367000000.0,214400000.0
229,Latvia,2017,356,17494.0,67.0,1950116,405000000.0,249500000.0
230,Latvia,2018,369,18242.0,69.0,1934379,423400000.0,242300000.0
231,Latvia,2019,381,18623.0,69.0,1919968,403000000.0,249505000.0
232,Latvia,2020,390,12862.0,72.0,1907675,457000000.0,246520000.0
272,Norway,2012,484,62689.0,188.0,4985870,5047689118.0,3976857735.0
273,Norway,2013,489,67251.0,187.0,5051275,5685257076.0,4682963703.0
274,Norway,2014,495,70341.0,179.0,5107970,5794065900.0,5022321696.0
275,Norway,2015,501,73836.0,159.0,5166493,5507453840.0,4840578414.0
282,Poland,2012,492,266011.0,67.0,38063792,4810840523.0,4813947375.0
283,Poland,2013,510,262382.0,67.0,38062535,2902956804.0,2727597627.0
284,Poland,2014,526,260260.0,67.0,38017856,2104194049.0,1835344725.0
285,Poland,2015,546,269664.0,69.0,38005614,2586305824.0,2511236492.0
286,Poland,2016,571,285094.0,69.0,37967209,3494133284.0,3402007517.0
287,Poland,2017,593,295394.0,69.0,37972964,3726241101.0,3719897564.0
292,Portugal,2012,406,132212.0,76.0,10542398,439000000.0,363000000.0
293,Portugal,2013,415,126079.0,77.0,10487289,385000000.0,282000000.0
313,Sweden,2012,465,193163.0,130.0,9482855,3170891382.0,3782225183.0
314,Sweden,2013,466,200706.0,128.0,9555893,3056701925.0,3402994047.0
